-- west build: running target run
[0/1] To exit from QEMU enter: 'CTRL+a, x'[QEMU] CPU: qemu32,+nx,+pae
[0mSeaBIOS (version zephyr-v1.16.3-2-0-gf8da0cc-zephyr)
Booting from ROM..
*** Booting Zephyr OS build v4.4.0-1130-g3c36361caba4 ***
Zephyr Magic Wand adaptive scheduling benchmark start
Using synthetic accelerometer input

[RT] run=13 exec_ms=0 lateness_ms=10 gap_ms=150 misses=4 mode=PROTECT healthy_streak=1
[ML] attempt=44 run=23 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=45 run=23 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=46 run=23 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=14 exec_ms=0 lateness_ms=10 gap_ms=200 misses=4 mode=PROTECT healthy_streak=2
[ML] attempt=47 run=23 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=48 run=23 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=49 run=23 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=50 run=23 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=15 exec_ms=0 lateness_ms=10 gap_ms=200 misses=4 mode=PROTECT healthy_streak=3
[SUMMARY] ml_attempts=51 ml_runs=23 rt_runs=15 rt_misses=4 mode=PROTECT healthy_streak=3
[ML] attempt=51 run=24 repeats=1 total_cycles=624374720 avg_cycles=624374720 mode=PROTECT action=RUN
[RT] run=16 exec_ms=0 lateness_ms=480 gap_ms=670 misses=5 mode=PROTECT healthy_streak=0
[ML] attempt=52 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=53 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=17 exec_ms=0 lateness_ms=10 gap_ms=130 misses=5 mode=PROTECT healthy_streak=1
[ML] attempt=54 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=55 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=56 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=18 exec_ms=0 lateness_ms=10 gap_ms=200 misses=5 mode=PROTECT healthy_streak=2
[ML] attempt=57 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=58 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=59 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=19 exec_ms=0 lateness_ms=10 gap_ms=200 misses=5 mode=PROTECT healthy_streak=3
[ML] attempt=60 run=24 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=61 run=25 repeats=1 total_cycles=625752576 avg_cycles=625752576 mode=PROTECT action=RUN
[RT] run=20 exec_ms=10 lateness_ms=500 gap_ms=690 misses=6 mode=PROTECT healthy_streak=0
[ML] attempt=62 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=21 exec_ms=0 lateness_ms=10 gap_ms=110 misses=6 mode=PROTECT healthy_streak=1
[ML] attempt=63 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=64 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=65 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=66 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=22 exec_ms=0 lateness_ms=10 gap_ms=200 misses=6 mode=PROTECT healthy_streak=2
[ML] attempt=67 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=68 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=69 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=23 exec_ms=0 lateness_ms=10 gap_ms=200 misses=6 mode=PROTECT healthy_streak=3
[ML] attempt=70 run=25 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=71 run=26 repeats=1 total_cycles=626630112 avg_cycles=626630112 mode=PROTECT action=RUN
[RT] run=24 exec_ms=10 lateness_ms=520 gap_ms=710 misses=7 mode=PROTECT healthy_streak=0
[ML] attempt=72 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=25 exec_ms=0 lateness_ms=10 gap_ms=90 misses=7 mode=PROTECT healthy_streak=1
[ML] attempt=73 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=74 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=75 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=26 exec_ms=0 lateness_ms=10 gap_ms=200 misses=7 mode=PROTECT healthy_streak=2
[ML] attempt=76 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=77 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=78 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=79 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=27 exec_ms=0 lateness_ms=10 gap_ms=200 misses=7 mode=PROTECT healthy_streak=3
[ML] attempt=80 run=26 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=81 run=27 repeats=1 total_cycles=626711712 avg_cycles=626711712 mode=PROTECT action=RUN
[RT] run=28 exec_ms=10 lateness_ms=540 gap_ms=730 misses=8 mode=PROTECT healthy_streak=0
[ML] attempt=82 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=29 exec_ms=0 lateness_ms=10 gap_ms=70 misses=8 mode=PROTECT healthy_streak=1
[ML] attempt=83 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=84 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=85 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=30 exec_ms=0 lateness_ms=10 gap_ms=200 misses=8 mode=PROTECT healthy_streak=2
[ML] attempt=86 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=87 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=88 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=31 exec_ms=0 lateness_ms=10 gap_ms=200 misses=8 mode=PROTECT healthy_streak=3
[ML] attempt=89 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=90 run=27 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[SUMMARY] ml_attempts=91 ml_runs=27 rt_runs=31 rt_misses=8 mode=PROTECT healthy_streak=3
[ML] attempt=91 run=28 repeats=1 total_cycles=627178176 avg_cycles=627178176 mode=PROTECT action=RUN
[RT] run=32 exec_ms=10 lateness_ms=560 gap_ms=750 misses=9 mode=PROTECT healthy_streak=0
[RT] run=33 exec_ms=0 lateness_ms=10 gap_ms=50 misses=9 mode=PROTECT healthy_streak=1
[ML] attempt=92 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=93 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=94 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=95 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=34 exec_ms=0 lateness_ms=10 gap_ms=200 misses=9 mode=PROTECT healthy_streak=2
[ML] attempt=96 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=97 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=98 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[RT] run=35 exec_ms=0 lateness_ms=10 gap_ms=200 misses=9 mode=PROTECT healthy_streak=3
[ML] attempt=99 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=100 run=28 repeats=1 total_cycles=0 avg_cycles=0 mode=PROTECT action=SKIP
[ML] attempt=101 run=29 repeats=1 total_cycles=626697696 avg_cycles=626697696 mode=PROTECT action=RUN
[RT] run=36 exec_ms=10 lateness_ms=580 gap_ms=770 misses=10 mode=PROTECT healthy_streak=0
[RT] run=37 exec_ms=0 lateness_ms=10 gap_ms=30 misses=10 mode=PROTECT healthy_streak=1
